Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
dgcZ	b1535	1622960	1623850	diguanylate cyclase DgcZ	Regulation of dgcZ by DNA-binding transcriptional dual regulator H-NS // Regulation of dgcZ by DNA-binding transcriptional dual regulator Lrp	negative regulation of bacterial-type flagellum-dependent cell motility // metabolic process // positive regulation of single-species biofilm formation on inanimate substrate // negative regulation of bacterial-type flagellum assembly // cell adhesion involved in single-species biofilm formation	dgcZ	EG11643		dgcZ
ydiY	b1722	1805325	1806083	acid-inducible putative outer membrane protein YdiY			ydiY	G6928		ydiY
ycbJ	b0919	971752	972645	putative phosphotransferase YcbJ			ycbJ	G6473		ycbJ
cdgI	b1785	1870385	1871860	putative c-di-GMP binding protein CdgI	Regulation of cdgI by DNA-binding transcriptional activator YgfI // Regulation of cdgI by DNA-binding transcriptional dual regulator H-NS	cell adhesion involved in single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility	cdgI	G6971		cdgI
yciN	b1273	1330417	1330668	protein YciN	Regulation of yciN by DNA-binding transcriptional dual regulator Lrp		yciN	EG12868		yciN
yfcE	b2300	2419234	2419788	phosphodiesterase YfcE			yfcE	G7192		yfcE
yijF	b3944	4137040	4137657	DUF1287 domain-containing protein YijF			yijF	EG11903		yijF
dgcE	b2067	2143266	2146583	putative diguanylate cyclase DgcE		regulation of single-species biofilm formation on inanimate substrate	yegE	EG12396		yegE
yigF	b3817	4002419	4002799	DUF2628 domain-containing protein YigF			yigGF	EG11464		yigGF
yheU	b3354	3484218	3484436	PF06794 family protein YheU			yheSTU	G7719		yheSTU
yfaT	b2229	2334336	2334959	DUF1175 domain-containing protein YfaT			yfaATSQP	G7156		yfaATSQP
fliI	b1941	2016554	2017927	flagellar export ATPase FliI	Regulation of fliI by small regulatory RNA FimR2	chemotaxis // proton transmembrane transport // proton motive force-driven ATP synthesis // bacterial-type flagellum-dependent cell motility // bacterial-type flagellum organization // bacterial-type flagellum assembly // protein secretion by the type III secretion system // biosynthetic process // protein transport // monoatomic ion transport // ATP biosynthetic process	fliFGHIJK // fliFGHIJK	G377		fliFGHIJK // fliFGHIJK
yobA	b1841	1924595	1924969	copper-binding protein	Regulation of yobA by DNA-binding transcriptional dual regulator Nac	copper ion homeostasis // copper ion transport // response to copper ion	yobA-yebZY	G7014		yobA-yebZY
ynfD	b1586	1657565	1657870	DUF1161 domain-containing protein YnfD	Regulation of ynfD by DNA-binding transcriptional dual regulator Nac		ynfD	G6844		ynfD
yfjM	b2629	2765513	2765776	CP4-57 prophage; protein YfjM			yfjM	G7364		yfjM
zntA	b3469	3606451	3608649	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase		metal ion transport // transmembrane transport // monoatomic cation transport // monoatomic ion transport // zinc ion transport // detoxification of zinc ion // intracellular zinc ion homeostasis // response to zinc ion // response to lead ion // zinc ion transmembrane transport // cadmium ion transmembrane transport // response to cadmium ion // lead ion transport	zntA	EG12215		zntA
ybgO	b0716	747921	748982	putative fimbrial protein YbgO		cell adhesion	ybgQPO	G6385		ybgQPO
sucC	b0728	763014	764180	succinyl-CoA synthetase subunit &beta;	Regulation of sucC by small regulatory RNA RyhB // Regulation of sucC by small regulatory RNA Spot 42	succinyl-CoA metabolic process // tricarboxylic acid cycle	sdhCDAB-sucABCD-sdhX // sucABCD-sdhX	EG10981	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic)	sdhCDAB-sucABCD-sdhX // sucABCD-sdhX
ybjC	b0850	890913	891200	DUF1418 domain-containing protein YbjC		response to paraquat // response to butan-1-ol	ybjC-nfsA-rimK-ybjN	EG12842		ybjC-nfsA-rimK-ybjN
yeeT	b2003	2076817	2077038	CP4-44 prophage; DUF987 domain-containing protein YeeT			yeeRST-cbeA-cbtA-yeeW	G7083		yeeRST-cbeA-cbtA-yeeW
sdhD	b0722	755560	755907	succinate:quinone oxidoreductase, membrane protein SdhD		aerobic electron transport chain // tricarboxylic acid cycle // aerobic respiration // cytochrome complex assembly	sdhDAB // sdhCDAB-sucABCD-sdhX	EG10934	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // succinate to cytochrome <i>bd</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer	sdhDAB // sdhCDAB-sucABCD-sdhX
yihD	b3858	4042069	4042338	DUF1040 domain-containing protein YihD	Regulation of yihD by DNA-binding transcriptional dual regulator Nac // Regulation of yihD by DNA-binding transcriptional repressor GlaR		yihD	EG11830		yihD
ynjI	b1762	1843831	1844871	DUF1266 domain-containing protein YnjI			ynjI	G6956		ynjI
sdhA	b0723	755907	757673	succinate:quinone oxidoreductase, FAD binding protein		aerobic electron transport chain // anaerobic respiration // electron transport chain // tricarboxylic acid cycle // aerobic respiration	sdhDAB // sdhCDAB-sucABCD-sdhX	EG10931	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // succinate to cytochrome <i>bd</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer	sdhDAB // sdhCDAB-sucABCD-sdhX
ygdB	b2824	2962749	2963156	DUF2509 domain-containing protein YgdB	Regulation of ygdB by DNA-binding transcriptional dual regulator Nac		ppdAB-ygdB-ppdC-recC	EG11155		ppdAB-ygdB-ppdC-recC
icd	b1136	1195123	1196373	isocitrate dehydrogenase	Regulation of icd by DNA-binding transcriptional dual regulator IHF // Regulation of icd by small regulatory RNA GcvB // Regulation of icd by DNA-binding transcriptional dual regulator Nac	electron transport chain // glyoxylate cycle // tricarboxylic acid cycle // response to oxidative stress	icd // icd	EG10489	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // mixed acid fermentation	icd // icd
ydaW	b1361	1422752	1423312	Rac prophage; putative uncharacterized protein YdaW			ydaSTUVW-rzpR	G6685		ydaSTUVW-rzpR
yqjK	b3100	3250077	3250376	PF13997 family protein YqjK			yqjCDEK	G7614		yqjCDEK
acnB	b0118	131615	134212	AcnB		glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle	acnB // acnB	EG12316	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I	acnB // acnB
yecM	b1875	1959280	1959846	putative metal-binding enzyme YecM			yecM-cutC	G7025		yecM-cutC
fumB	b4122	4345680	4347326	fumarase B		metabolic process // generation of precursor metabolites and energy // DNA damage response // single-species biofilm formation // tricarboxylic acid cycle	dcuB-fumB // dcuB-fumB // fumB	EG10357	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // mixed acid fermentation	dcuB-fumB // dcuB-fumB // fumB
ymfL	b1147	1203268	1203825	e14 prophage; uncharacterized protein YmfL			ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	G6591		ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP
yneG	b1523	1611966	1612325	DUF4186 domain-containing protein YneG			glsB-yneG	G6809		glsB-yneG
sucD	b0729	764180	765049	succinyl-CoA synthetase subunit &alpha;		tricarboxylic acid cycle // protein autophosphorylation	sdhCDAB-sucABCD-sdhX // sucABCD-sdhX	EG10982	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic)	sdhCDAB-sucABCD-sdhX // sucABCD-sdhX
dgcF	b1522	1610907	1611854	putative diguanylate cyclase DgcF		negative regulation of bacterial-type flagellum-dependent cell motility // cell adhesion involved in single-species biofilm formation // regulation of bacterial-type flagellum-dependent cell motility	dgcF	G6808		dgcF
ybeR	b0645	676711	677418	DUF1266 domain-containing protein YbeR	Regulation of ybeR by DNA-binding transcriptional dual regulator Nac		ybeR-djlB	G6352		ybeR-djlB
sucA	b0726	758706	761507	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	Regulation of sucA by small regulatory RNA GlnZ // Regulation of sucA by DNA-binding transcriptional dual regulator Nac	tricarboxylic acid cycle	sucAB // sdhCDAB-sucABCD-sdhX // sucABCD-sdhX	EG10979	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // 2-oxoglutarate decarboxylation to succinyl-CoA	sucAB // sdhCDAB-sucABCD-sdhX // sucABCD-sdhX
rrrD	b0555	577613	578110	DLP12 prophage; lysozyme		killing of cells of another organism // cell wall macromolecule catabolic process // peptidoglycan catabolic process // defense response to bacterium // metabolic process // viral release from host cell by cytolysis	essD-ybcS-rzpD	G6310		essD-ybcS-rzpD
ybiI	b0803	838190	838456	zinc finger domain-containing protein YbiI	Regulation of ybiI by DNA-binding transcriptional dual regulator Lrp	positive regulation of secondary metabolite biosynthetic process	ybiI	EG12421		ybiI
sdhB	b0724	757689	758405	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein		aerobic electron transport chain // respiratory electron transport chain // tricarboxylic acid cycle // aerobic respiration	sdhDAB // sdhCDAB-sucABCD-sdhX	EG10932	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // succinate to cytochrome <i>bd</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer	sdhDAB // sdhCDAB-sucABCD-sdhX
yibG	b3596	3768177	3768638	tetratricopeptide-like domain-containing protein YibG			yibG	EG11763		yibG
fumC	b1611	1685185	1686588	fumarase C		malate metabolic process // fumarate metabolic process // metabolic process // tricarboxylic acid cycle // response to oxidative stress	fumAC // fumC // fumC	EG10358	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // mixed acid fermentation	fumAC // fumC // fumC
yagJ	b0276	291500	292231	CP4-6 prophage; protein YagJ		response to X-ray	yagJ	G6147		yagJ
yciG	b1259	1315856	1316035	stress-induced bacterial acidophilic repeat motifs-containing protein YciG		bacterial-type flagellum-dependent swarming motility	yciG // yciGFE	EG11127		yciG // yciGFE
sucB	b0727	761522	762739	dihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // <i>S</i>-succinyldihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // lipoyl-[2-oxoglutarate dehydrogenase E2 sbunit] // 2-oxoglutarate dehydrogenase E2 subunit		L-lysine catabolic process to acetyl-CoA via saccharopine // tricarboxylic acid cycle	sucAB // sdhCDAB-sucABCD-sdhX // sucABCD-sdhX	EG10980	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // 2-oxoglutarate decarboxylation to succinyl-CoA	sucAB // sdhCDAB-sucABCD-sdhX // sucABCD-sdhX
ycjR	b1314	1376034	1376822	3-dehydro-D-guloside 4-epimerase		carbohydrate metabolic process	ycjMNOPQRSTUV-ymjB-ompG	G6652	D-gulosides conversion to D-glucosides	ycjMNOPQRSTUV-ymjB-ompG
yghW	b2998	3146450	3146737	DUF2623 domain-containing protein YghW		response to butan-1-ol	yghW	G7555		yghW
yafX	b0248	264748	265206	CP4-6 prophage; protein YafX			ykfBF-yafX-ykfGH-yafW-ykfI // ykfBF-yafX-ykfGH-yafW-ykfI // yafY-ykfBF-yafX-ykfGH-yafW-ykfI	G6123		ykfBF-yafX-ykfGH-yafW-ykfI // ykfBF-yafX-ykfGH-yafW-ykfI // yafY-ykfBF-yafX-ykfGH-yafW-ykfI
sdhC	b0721	755177	755566	succinate:quinone oxidoreductase, membrane protein SdhC	Regulation of sdhC by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of sdhC by DNA-binding transcriptional dual regulator Nac // Regulation of sdhC by small regulatory RNA RybB // Regulation of sdhC by small regulatory RNA Spot 42	aerobic electron transport chain // tricarboxylic acid cycle // aerobic respiration // cytochrome complex assembly	sdhCDAB-sucABCD-sdhX	EG10933	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // succinate to cytochrome <i>bd</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer	sdhCDAB-sucABCD-sdhX
yebO	b1825	1908261	1908548	uncharacterized protein YebO			yebO	G7001		yebO
ppc	b3956	4150447	4153098	phosphoenolpyruvate carboxylase	Regulation of ppc by DNA-binding transcriptional dual regulator Nac	gluconeogenesis // protein homotetramerization // oxaloacetate metabolic process // tricarboxylic acid cycle // metabolic process // carbon fixation	ppc	EG10756	mixed acid fermentation	ppc
ynaJ	b1332	1397365	1397622	DUF2534 domain-containing protein YnaJ			ynaJ	G6668		ynaJ
gltA	b0720	753185	754468	citrate synthase	Regulation of gltA by DNA-binding transcriptional dual regulator Nac // Regulation of gltA by small regulatory RNA Spot 42	metabolic process // tricarboxylic acid cycle // protein hexamerization	gltA // gltA	EG10402	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation	gltA // gltA
yagA	b0267	280829	281983	CP4-6 prophage; integrase core domain-containing protein YagA		DNA integration	yagAB-insX	EG12338		yagAB-insX
ybdJ	b0580	605951	606199	DUF1158 domain-containing protein YbdJ			ybdJ	G6325		ybdJ
fumA	b1612	1686731	1688377	fumarase A	Regulation of fumA by DNA-binding transcriptional dual regulator Lrp // Regulation of fumA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	metabolic process // generation of precursor metabolites and energy // tricarboxylic acid cycle	fumAC // fumA	EG10356	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // mixed acid fermentation	fumAC // fumA
gfcC	b0985	1047945	1048691	capsule biosynthesis GfcC family protein			gfcBCD	G6506		gfcBCD
ygaC	b2671	2799650	2799994	DUF2002 domain-containing protein YgaC	Regulation of ygaC by DNA-binding transcriptional dual regulator Nac		ygaC	EG12201		ygaC
ydfC	b1573	1648823	1649041	Qin prophage; uncharacterized protein YdfC			ydfABC	EG11302		ydfABC
yidG	b3675	3855608	3855970	inner membrane protein YidG			yidHGF	EG11695		yidHGF
yfjF	b2618	2754008	2754298	putative component of the Rsx system			ratA-yfjF	G7357		ratA-yfjF
yfjJ	b2626	2760547	2761173	CP4-57 prophage; protein YfjJ			yfjJ	G7361		yfjJ
yeaO	b1792	1876909	1877256	DUF488 domain-containing protein YeaO			yeaO	G6978		yeaO
ybiX	b0804	838530	839207	PKHD-type hydroxylase YbiX	Regulation of ybiX by DNA-binding transcriptional dual regulator YieP	DNA damage response // intracellular iron ion homeostasis	ybiX	G6413		ybiX
ymgE	b1195	1244728	1244982	PF04226 family protein YmgE			ymgE	G6624		ymgE
yfdP	b2359	2473604	2473966	CPS-53 (KpLE1) prophage; uncharacterized protein YfdP			yfdPQ	G7228		yfdPQ
yahL	b0326	344176	344991	uncharacterized protein YahL			yahL	G6191		yahL
sanA	b2144	2232878	2233597	DUF218 domain-containing protein SanA		response to carbon starvation // response to xenobiotic stimulus	sanA-yeiS	EG12025		sanA-yeiS
flu	b2000	2071539	2074658	CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter			flu // flu // isrC-flu	G7080		flu // flu // isrC-flu
recX	b2698	2822139	2822639	RecA inhibitor RecX		DNA repair // regulation of DNA repair // DNA damage response // SOS response	recAX	EG12080		recAX
yedD	b1928	2007677	2008090	lipoprotein YedD			yedD	EG11659		yedD
ybbJ	b0488	514401	514859	NfeD-like family protein YbbJ			qmcA-ybbJ	G6264		qmcA-ybbJ
xerC	b3811	3996287	3997183	site-specific tyrosine recombinase		DNA transposition // DNA recombination // resolution of recombination intermediates // plasmid maintenance // plasmid recombination // cell division // DNA integration // chromosome segregation // cell cycle	yifL-dapF-yigA-xerC-yigB	EG11069		yifL-dapF-yigA-xerC-yigB
ytfI	b4215	4437707	4438645	protein YtfI			ytfI	G7870		ytfI
ydfO	b1549	1637047	1637457	Qin prophage; DUF1398 domain-containing protein YdfO	Regulation of ydfO by DNA-binding transcriptional dual regulator FNR		ynfO-ydfO	G6822		ynfO-ydfO
